# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Parâmetros não preenchidos usam o padrão do .conf do projeto
# Projeto: PRJNA1021161 — 16S V3-V4 (341F/806R), MiSeq 2x300, primers presentes
SRR26191002	270	240	17	20	2	4	paired
SRR26191003	270	240	17	20	2	4	paired
SRR26191004	270	240	17	20	2	4	paired
SRR26191005	270	240	17	20	2	4	paired
SRR26191006	270	240	17	20	2	4	paired
SRR26191007	270	240	17	20	2	4	paired
SRR26191008	270	240	17	20	2	4	paired
SRR26191009	270	240	17	20	2	4	paired
SRR26191010	270	240	17	20	2	4	paired
SRR26191011	270	240	17	20	2	4	paired
SRR26191012	270	240	17	20	2	4	paired
SRR26191013	270	240	17	20	2	4	paired
SRR26191014	270	240	17	20	2	4	paired
SRR26191015	270	240	17	20	2	4	paired
SRR26191016	270	240	17	20	2	4	paired
SRR26191017	270	240	17	20	2	4	paired
SRR26191018	270	240	17	20	2	4	paired
SRR26191019	270	240	17	20	2	4	paired
SRR26191020	270	240	17	20	2	4	paired
SRR26191021	270	240	17	20	2	4	paired
SRR26191022	270	240	17	20	2	4	paired
SRR26191023	270	240	17	20	2	4	paired
SRR26191024	270	240	17	20	2	4	paired
SRR26191025	270	240	17	20	2	4	paired
SRR26191026	270	240	17	20	2	4	paired
SRR26191027	270	240	17	20	2	4	paired
SRR26191028	270	240	17	20	2	4	paired
SRR26191029	270	240	17	20	2	4	paired
SRR26191030	270	240	17	20	2	4	paired
SRR26191031	270	240	17	20	2	4	paired
SRR26191032	270	240	17	20	2	4	paired
SRR26191033	270	240	17	20	2	4	paired
SRR26191034	270	240	17	20	2	4	paired
SRR26191035	270	240	17	20	2	4	paired
SRR26191036	270	240	17	20	2	4	paired
SRR26191037	270	240	17	20	2	4	paired
SRR26191038	270	240	17	20	2	4	paired
SRR26191039	270	240	17	20	2	4	paired
SRR26191040	270	240	17	20	2	4	paired
SRR26191041	270	240	17	20	2	4	paired
SRR26191042	270	240	17	20	2	4	paired
SRR26191043	270	240	17	20	2	4	paired
SRR26191044	270	240	17	20	2	4	paired
SRR26191045	270	240	17	20	2	4	paired
SRR26191046	270	240	17	20	2	4	paired
SRR26191047	270	240	17	20	2	4	paired
SRR26191048	270	240	17	20	2	4	paired
SRR26191049	270	240	17	20	2	4	paired
SRR26191050	270	240	17	20	2	4	paired
SRR26191051	270	240	17	20	2	4	paired
SRR26191052	270	240	17	20	2	4	paired
SRR26191053	270	240	17	20	2	4	paired
SRR26191054	270	240	17	20	2	4	paired
SRR26191055	270	240	17	20	2	4	paired
SRR26191056	270	240	17	20	2	4	paired
SRR26191057	270	240	17	20	2	4	paired
SRR26191058	270	240	17	20	2	4	paired
SRR26191059	270	240	17	20	2	4	paired
SRR26191060	270	240	17	20	2	4	paired
SRR26191061	270	240	17	20	2	4	paired
SRR26191062	270	240	17	20	2	4	paired
SRR26191063	270	240	17	20	2	4	paired
SRR26191064	270	240	17	20	2	4	paired
SRR26191065	270	240	17	20	2	4	paired
SRR26191066	270	240	17	20	2	4	paired
SRR26191067	270	240	17	20	2	4	paired
SRR26191068	270	240	17	20	2	4	paired
SRR26191069	270	240	17	20	2	4	paired
SRR26191070	270	240	17	20	2	4	paired
SRR26191071	270	240	17	20	2	4	paired
SRR26191072	270	240	17	20	2	4	paired
SRR26191073	270	240	17	20	2	4	paired
SRR26191074	270	240	17	20	2	4	paired
SRR26191075	270	240	17	20	2	4	paired
SRR26191076	270	240	17	20	2	4	paired
SRR26191077	270	240	17	20	2	4	paired
SRR26191078	270	240	17	20	2	4	paired
SRR26191079	270	240	17	20	2	4	paired
SRR26191080	270	240	17	20	2	4	paired
SRR26191081	270	240	17	20	2	4	paired
SRR26191082	270	240	17	20	2	4	paired
SRR26191083	270	240	17	20	2	4	paired
SRR26191084	270	240	17	20	2	4	paired
SRR26191085	270	240	17	20	2	4	paired
SRR26191086	270	240	17	20	2	4	paired
SRR26191087	270	240	17	20	2	4	paired
SRR26191088	270	240	17	20	2	4	paired
SRR26191089	270	240	17	20	2	4	paired
SRR26191090	270	240	17	20	2	4	paired
SRR26191091	270	240	17	20	2	4	paired
SRR26191092	270	240	17	20	2	4	paired
SRR26191093	270	240	17	20	2	4	paired
SRR26191094	270	240	17	20	2	4	paired
SRR26191095	270	240	17	20	2	4	paired
SRR26191096	270	240	17	20	2	4	paired
SRR26191097	270	240	17	20	2	4	paired
SRR26191098	270	240	17	20	2	4	paired
SRR26191099	270	240	17	20	2	4	paired
SRR26191100	270	240	17	20	2	4	paired
SRR26191101	270	240	17	20	2	4	paired
SRR26191102	270	240	17	20	2	4	paired
SRR26191103	270	240	17	20	2	4	paired
SRR26191104	270	240	17	20	2	4	paired
SRR26191105	270	240	17	20	2	4	paired
SRR26191106	270	240	17	20	2	4	paired
SRR26191107	270	240	17	20	2	4	paired
SRR26191108	270	240	17	20	2	4	paired
SRR26191109	270	240	17	20	2	4	paired
SRR26191110	270	240	17	20	2	4	paired
SRR26191111	270	240	17	20	2	4	paired
SRR26191112	270	240	17	20	2	4	paired
