# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Parâmetros não preenchidos usam o padrão do .conf do projeto
# Projeto: PRJNA1054347 — 16S V3-V4 (341F/806R), MiSeq 2x300, primers presentes
SRR27301188	270	240	17	20	2	4	paired
SRR27301189	270	240	17	20	2	4	paired
SRR27301190	270	240	17	20	2	4	paired
SRR27301191	270	240	17	20	2	4	paired
SRR27301192	270	240	17	20	2	4	paired
SRR27301193	270	240	17	20	2	4	paired
SRR27301194	270	240	17	20	2	4	paired
SRR27301195	270	240	17	20	2	4	paired
SRR27301196	270	240	17	20	2	4	paired
SRR27301197	270	240	17	20	2	4	paired
SRR27301198	270	240	17	20	2	4	paired
SRR27301199	270	240	17	20	2	4	paired
SRR27301200	270	240	17	20	2	4	paired
SRR27301201	270	240	17	20	2	4	paired
SRR27301202	270	240	17	20	2	4	paired
SRR27301203	270	240	17	20	2	4	paired
SRR27301204	270	240	17	20	2	4	paired
SRR27301205	270	240	17	20	2	4	paired
SRR27301206	270	240	17	20	2	4	paired
SRR27301207	270	240	17	20	2	4	paired
SRR27301208	270	240	17	20	2	4	paired
SRR27301209	270	240	17	20	2	4	paired
SRR27301210	270	240	17	20	2	4	paired
SRR27301211	270	240	17	20	2	4	paired
SRR27301212	270	240	17	20	2	4	paired
SRR27301213	270	240	17	20	2	4	paired
SRR27301214	270	240	17	20	2	4	paired
SRR27301215	270	240	17	20	2	4	paired
SRR27301216	270	240	17	20	2	4	paired
SRR27301217	270	240	17	20	2	4	paired
SRR27301218	270	240	17	20	2	4	paired
SRR27301219	270	240	17	20	2	4	paired
SRR27301220	270	240	17	20	2	4	paired
SRR27301221	270	240	17	20	2	4	paired
SRR27301222	270	240	17	20	2	4	paired
SRR27301223	270	240	17	20	2	4	paired
