# Constructed from biom file
#OTU ID	SRR11851974	SRR11851975	SRR11851978	SRR11851989	SRR11852000	SRR11852011	SRR11852022	SRR11852033	SRR11852036	SRR11852037	SRR11852038	SRR11852039	SRR11852040	SRR11852041	SRR11852042	SRR11852043	SRR11852044	SRR11852045
59ea9203054d084a0a956b3027de287c	0.0	0.0	10.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44014f7be8ffef342795c36d3bba5934	0.0	14.0	18.0	25.0	0.0	0.0	23.0	0.0	0.0	12.0	0.0	0.0	21.0	0.0	31.0	26.0	0.0	0.0
93c34f2b162d28ea70c1ecbea993050f	21.0	0.0	0.0	22.0	0.0	0.0	15.0	15.0	52.0	30.0	14.0	0.0	27.0	31.0	24.0	21.0	0.0	0.0
65d891ca0c1b0ba2cf085ddbbe2c5d69	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9c8501edb2277885d4478a5780e138cb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
1ad223db34a082928c83465435648394	99.0	109.0	259.0	56.0	620.0	624.0	477.0	1110.0	57.0	92.0	83.0	115.0	311.0	274.0	302.0	101.0	401.0	501.0
ddcbb20061610f83287c33a625d71323	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a85091eb60966ce08eb0bf5e4c47a050	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8f5d09f47b33ea6bb8f77f53dc1d5afd	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
929d579a99a4c431c7972cb160300a18	113.0	0.0	138.0	108.0	81.0	101.0	109.0	74.0	94.0	0.0	78.0	65.0	151.0	131.0	75.0	149.0	0.0	0.0
d5e369da6d4d49c8b51ca3b9a68ccda1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
fa03373b80812640a269600885ca87c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
93fa834f27c365c8c5d60932a2376b82	54.0	39.0	111.0	91.0	118.0	64.0	83.0	32.0	54.0	65.0	60.0	65.0	102.0	38.0	46.0	67.0	22.0	32.0
ed2b4678cbae03924bd49d3ce010b107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
de3ca93f283603879f9b5279bbb46409	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a500a4347731a65e902e876f897d423c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0
