sample-id	description
SRR11851974	SRR11851974
SRR11851975	SRR11851975
SRR11851978	SRR11851978
SRR11851989	SRR11851989
SRR11852000	SRR11852000
SRR11852011	SRR11852011
SRR11852016	SRR11852016
SRR11852017	SRR11852017
SRR11852018	SRR11852018
SRR11852019	SRR11852019
SRR11852020	SRR11852020
SRR11852021	SRR11852021
SRR11852022	SRR11852022
SRR11852023	SRR11852023
SRR11852024	SRR11852024
SRR11852025	SRR11852025
SRR11852026	SRR11852026
SRR11852027	SRR11852027
SRR11852028	SRR11852028
SRR11852029	SRR11852029
SRR11852030	SRR11852030
SRR11852032	SRR11852032
SRR11852033	SRR11852033
SRR11852034	SRR11852034
SRR11852035	SRR11852035
SRR11852036	SRR11852036
SRR11852037	SRR11852037
SRR11852038	SRR11852038
SRR11852039	SRR11852039
SRR11852040	SRR11852040
SRR11852041	SRR11852041
SRR11852042	SRR11852042
SRR11852043	SRR11852043
SRR11852044	SRR11852044
SRR11852045	SRR11852045
