# Constructed from biom file
#OTU ID	SRR11852016	SRR11852017	SRR11852018	SRR11852019	SRR11852020	SRR11852021	SRR11852023	SRR11852024	SRR11852025	SRR11852026	SRR11852027	SRR11852028	SRR11852029	SRR11852030	SRR11852032	SRR11852034	SRR11852035
8b554399b284ec7648dcb99ba66ae24b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
f90476030871aa96b93f8697efc47b6e	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	23.0	0.0	0.0	0.0
45d000d5de0bff54c7268e794d82a021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
e1986bd4e09d100a0700934d5af68aaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0
a7989da3a3ae3bac87651f454201f6a0	41.0	47.0	45.0	43.0	57.0	62.0	34.0	0.0	68.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
3b4fb98ec9d3648381d6a94117f4b7f6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
06ce6b859d06c2e7e4e2b2dd8b4a718e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0
0bc9cb958d79203dd07ba6b4bf0c46fa	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29d5430977c8881dd791e4f93b311741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0
34354d995c8f9f513af86e480800a12c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
2be2bf50b8076e56ef7fa4ceb3bb8825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
80daf9cae65592b2bd4ddff8aab3a6d3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
