sample-id	description
ERR10890547	ERR10890547
ERR10890548	ERR10890548
ERR10890549	ERR10890549
ERR10890550	ERR10890550
ERR10890551	ERR10890551
ERR10890552	ERR10890552
ERR10890553	ERR10890553
ERR10890554	ERR10890554
ERR10890555	ERR10890555
ERR10890556	ERR10890556
ERR10890557	ERR10890557
ERR10890558	ERR10890558
ERR10890559	ERR10890559
ERR10890560	ERR10890560
ERR10890561	ERR10890561
ERR10890562	ERR10890562
ERR10890563	ERR10890563
ERR10890564	ERR10890564
ERR10890565	ERR10890565
ERR10890566	ERR10890566
ERR10890567	ERR10890567
ERR10890568	ERR10890568
ERR10890569	ERR10890569
ERR10890570	ERR10890570
ERR10890571	ERR10890571
