# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Parâmetros não preenchidos usam o padrão do .conf do projeto
# Projeto: PRJNA564156 — 16S V3-V4 (341F/806R), MiSeq 2x300, primers presentes
SRR10076378	270	240	17	20	2	4	paired
SRR10076379	270	240	17	20	2	4	paired
SRR10076380	270	240	17	20	2	4	paired
SRR10076381	270	240	17	20	2	4	paired
SRR10076382	270	240	17	20	2	4	paired
SRR10076383	270	240	17	20	2	4	paired
SRR10076384	270	240	17	20	2	4	paired
SRR10076385	270	240	17	20	2	4	paired
SRR10076386	270	240	17	20	2	4	paired
SRR10076387	270	240	17	20	2	4	paired
SRR10076388	270	240	17	20	2	4	paired
SRR10076389	270	240	17	20	2	4	paired
SRR10076390	270	240	17	20	2	4	paired
SRR10076391	270	240	17	20	2	4	paired
SRR10076392	270	240	17	20	2	4	paired
SRR10076393	270	240	17	20	2	4	paired
SRR10076394	270	240	17	20	2	4	paired
SRR10076395	270	240	17	20	2	4	paired
SRR10076396	270	240	17	20	2	4	paired
SRR10076397	270	240	17	20	2	4	paired
SRR10076398	270	240	17	20	2	4	paired
SRR10076399	270	240	17	20	2	4	paired
SRR10076400	270	240	17	20	2	4	paired
SRR10076401	270	240	17	20	2	4	paired
SRR10076402	270	240	17	20	2	4	paired
SRR10076403	270	240	17	20	2	4	paired
SRR10076404	270	240	17	20	2	4	paired
SRR10076405	270	240	17	20	2	4	paired
SRR10076406	270	240	17	20	2	4	paired
SRR10076407	270	240	17	20	2	4	paired
SRR10076408	270	240	17	20	2	4	paired
SRR10076409	270	240	17	20	2	4	paired
SRR10076410	270	240	17	20	2	4	paired
SRR10076411	270	240	17	20	2	4	paired
SRR10076412	270	240	17	20	2	4	paired
SRR10076413	270	240	17	20	2	4	paired
SRR10076414	270	240	17	20	2	4	paired
SRR10076415	270	240	17	20	2	4	paired
SRR10076416	270	240	17	20	2	4	paired
SRR10076417	270	240	17	20	2	4	paired
SRR10076418	270	240	17	20	2	4	paired
SRR10076419	270	240	17	20	2	4	paired
SRR10076420	270	240	17	20	2	4	paired
SRR10076421	270	240	17	20	2	4	paired
SRR10076422	270	240	17	20	2	4	paired
