# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Parâmetros não preenchidos usam o padrão do .conf do projeto
# Projeto: PRJNA564156 — 16S V3-V4 (341F/806R), MiSeq 2x300, primers presentes
SRR10076423	270	240	17	20	2	4	paired
SRR10076424	270	240	17	20	2	4	paired
SRR10076425	270	240	17	20	2	4	paired
SRR10076426	270	240	17	20	2	4	paired
SRR10076427	270	240	17	20	2	4	paired
SRR10076428	270	240	17	20	2	4	paired
SRR10076429	270	240	17	20	2	4	paired
SRR10076430	270	240	17	20	2	4	paired
SRR10076431	270	240	17	20	2	4	paired
SRR10076432	270	240	17	20	2	4	paired
SRR10076433	270	240	17	20	2	4	paired
SRR10076434	270	240	17	20	2	4	paired
SRR10076435	270	240	17	20	2	4	paired
SRR10076436	270	240	17	20	2	4	paired
SRR10076437	270	240	17	20	2	4	paired
SRR10076438	270	240	17	20	2	4	paired
SRR10076439	270	240	17	20	2	4	paired
SRR10076440	270	240	17	20	2	4	paired
SRR10076441	270	240	17	20	2	4	paired
SRR10076442	270	240	17	20	2	4	paired
SRR10076443	270	240	17	20	2	4	paired
SRR10076444	270	240	17	20	2	4	paired
SRR10076445	270	240	17	20	2	4	paired
SRR10076446	270	240	17	20	2	4	paired
SRR10076447	270	240	17	20	2	4	paired
SRR10076448	270	240	17	20	2	4	paired
SRR10076449	270	240	17	20	2	4	paired
SRR10076450	270	240	17	20	2	4	paired
SRR10076451	270	240	17	20	2	4	paired
SRR10076452	270	240	17	20	2	4	paired
SRR10076453	270	240	17	20	2	4	paired
SRR10076454	270	240	17	20	2	4	paired
SRR10076455	270	240	17	20	2	4	paired
SRR10076456	270	240	17	20	2	4	paired
SRR10076457	270	240	17	20	2	4	paired
SRR10076458	270	240	17	20	2	4	paired
SRR10076459	270	240	17	20	2	4	paired
SRR10076460	270	240	17	20	2	4	paired
SRR10076461	270	240	17	20	2	4	paired
SRR10076462	270	240	17	20	2	4	paired
SRR10076463	270	240	17	20	2	4	paired
SRR10076464	270	240	17	20	2	4	paired
SRR10076465	270	240	17	20	2	4	paired
SRR10076466	270	240	17	20	2	4	paired
SRR10076467	270	240	17	20	2	4	paired
SRR10076468	270	240	17	20	2	4	paired
SRR10076469	270	240	17	20	2	4	paired
SRR10076470	270	240	17	20	2	4	paired
SRR10076471	270	240	17	20	2	4	paired
SRR10076472	270	240	17	20	2	4	paired
SRR10076473	270	240	17	20	2	4	paired
SRR10076474	270	240	17	20	2	4	paired
SRR10076475	270	240	17	20	2	4	paired
SRR10076476	270	240	17	20	2	4	paired
SRR10076477	270	240	17	20	2	4	paired
SRR10076478	270	240	17	20	2	4	paired
SRR10076479	270	240	17	20	2	4	paired
SRR10076480	270	240	17	20	2	4	paired
SRR10076481	270	240	17	20	2	4	paired
SRR10076482	270	240	17	20	2	4	paired
SRR10076483	270	240	17	20	2	4	paired
SRR10076484	270	240	17	20	2	4	paired
SRR10076485	270	240	17	20	2	4	paired
SRR10076486	270	240	17	20	2	4	paired
SRR10076487	270	240	17	20	2	4	paired
SRR10076488	270	240	17	20	2	4	paired
SRR10076489	270	240	17	20	2	4	paired
SRR10076490	270	240	17	20	2	4	paired
SRR10076491	270	240	17	20	2	4	paired
SRR10076492	270	240	17	20	2	4	paired
SRR10076493	270	240	17	20	2	4	paired
SRR10076494	270	240	17	20	2	4	paired
SRR10076495	270	240	17	20	2	4	paired
SRR10076496	270	240	17	20	2	4	paired
SRR10076497	270	240	17	20	2	4	paired
SRR10076498	270	240	17	20	2	4	paired
SRR10076499	270	240	17	20	2	4	paired
SRR10076500	270	240	17	20	2	4	paired
SRR10076501	270	240	17	20	2	4	paired
SRR10076502	270	240	17	20	2	4	paired
SRR10076503	270	240	17	20	2	4	paired
SRR10076504	270	240	17	20	2	4	paired
SRR10076505	270	240	17	20	2	4	paired
SRR10076506	270	240	17	20	2	4	paired
SRR10076507	270	240	17	20	2	4	paired
SRR10076508	270	240	17	20	2	4	paired
SRR10076509	270	240	17	20	2	4	paired
SRR10076510	270	240	17	20	2	4	paired
SRR10076511	270	240	17	20	2	4	paired
SRR10076512	270	240	17	20	2	4	paired
SRR10076513	270	240	17	20	2	4	paired
SRR10076514	270	240	17	20	2	4	paired
SRR10076515	270	240	17	20	2	4	paired
SRR10076516	270	240	17	20	2	4	paired
SRR10076517	270	240	17	20	2	4	paired
SRR10076518	270	240	17	20	2	4	paired
SRR10076519	270	240	17	20	2	4	paired
SRR10076520	270	240	17	20	2	4	paired
SRR10076521	270	240	17	20	2	4	paired
SRR10076522	270	240	17	20	2	4	paired
SRR10076523	270	240	17	20	2	4	paired
SRR10076524	270	240	17	20	2	4	paired
SRR10076525	270	240	17	20	2	4	paired
SRR10076526	270	240	17	20	2	4	paired
SRR10076527	270	240	17	20	2	4	paired
SRR10076528	270	240	17	20	2	4	paired
SRR10076529	270	240	17	20	2	4	paired
SRR10076530	270	240	17	20	2	4	paired
SRR10076531	270	240	17	20	2	4	paired
SRR10076532	270	240	17	20	2	4	paired
SRR10076533	270	240	17	20	2	4	paired
SRR10076534	270	240	17	20	2	4	paired
SRR10076535	270	240	17	20	2	4	paired
SRR10076536	270	240	17	20	2	4	paired
SRR10076537	270	240	17	20	2	4	paired
SRR10076538	270	240	17	20	2	4	paired
SRR10076539	270	240	17	20	2	4	paired
SRR10076540	270	240	17	20	2	4	paired
SRR10076541	270	240	17	20	2	4	paired
SRR10076542	270	240	17	20	2	4	paired
SRR10076543	270	240	17	20	2	4	paired
SRR10076544	270	240	17	20	2	4	paired
SRR10076545	270	240	17	20	2	4	paired
