sample-id	description
SRR11852016	SRR11852016
SRR11852017	SRR11852017
SRR11852018	SRR11852018
SRR11852019	SRR11852019
SRR11852020	SRR11852020
SRR11852021	SRR11852021
SRR11852023	SRR11852023
SRR11852024	SRR11852024
SRR11852025	SRR11852025
SRR11852026	SRR11852026
SRR11852027	SRR11852027
SRR11852028	SRR11852028
SRR11852029	SRR11852029
SRR11852030	SRR11852030
SRR11852032	SRR11852032
SRR11852034	SRR11852034
SRR11852035	SRR11852035
