# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Parâmetros não preenchidos usam o padrão do .conf do projeto
# Projeto: PRJNA631499 — 16S V3-V4 (341F/806R), MiSeq 2x300, primers presentes
SRR11748991	270	240	17	20	2	4	paired
SRR11748992	270	240	17	20	2	4	paired
SRR11748993	270	240	17	20	2	4	paired
SRR11748994	270	240	17	20	2	4	paired
SRR11748996	270	240	17	20	2	4	paired
SRR11748997	270	240	17	20	2	4	paired
SRR11748998	270	240	17	20	2	4	paired
SRR11748999	270	240	17	20	2	4	paired
SRR11749000	270	240	17	20	2	4	paired
SRR11749001	270	240	17	20	2	4	paired
SRR11749002	270	240	17	20	2	4	paired
SRR11749003	270	240	17	20	2	4	paired
SRR11749004	270	240	17	20	2	4	paired
SRR11749006	270	240	17	20	2	4	paired
SRR11749007	270	240	17	20	2	4	paired
SRR11749008	270	240	17	20	2	4	paired
SRR11749009	270	240	17	20	2	4	paired
SRR11749010	270	240	17	20	2	4	paired
SRR11749012	270	240	17	20	2	4	paired
SRR11749013	270	240	17	20	2	4	paired
SRR11749014	270	240	17	20	2	4	paired
SRR11749015	270	240	17	20	2	4	paired
SRR11749016	270	240	17	20	2	4	paired
SRR11749017	270	240	17	20	2	4	paired
SRR11749018	270	240	17	20	2	4	paired
SRR11749020	270	240	17	20	2	4	paired
SRR11749022	270	240	17	20	2	4	paired
SRR11749023	270	240	17	20	2	4	paired
SRR11749024	270	240	17	20	2	4	paired
SRR11749025	270	240	17	20	2	4	paired
SRR11749026	270	240	17	20	2	4	paired
SRR11749027	270	240	17	20	2	4	paired
SRR11749028	270	240	17	20	2	4	paired
SRR11749029	270	240	17	20	2	4	paired
SRR11749032	270	240	17	20	2	4	paired
SRR11749054	270	240	17	20	2	4	paired
SRR11749065	270	240	17	20	2	4	paired
SRR11749076	270	240	17	20	2	4	paired
SRR11749077	270	240	17	20	2	4	paired
SRR11749083	270	240	17	20	2	4	paired
SRR11749084	270	240	17	20	2	4	paired
SRR11749085	270	240	17	20	2	4	paired
SRR11749086	270	240	17	20	2	4	paired
SRR11749087	270	240	17	20	2	4	paired
SRR11749088	270	240	17	20	2	4	paired
SRR11749089	270	240	17	20	2	4	paired
SRR11749090	270	240	17	20	2	4	paired
SRR11749091	270	240	17	20	2	4	paired
SRR11749092	270	240	17	20	2	4	paired
SRR11749093	270	240	17	20	2	4	paired
SRR11749094	270	240	17	20	2	4	paired
SRR11749095	270	240	17	20	2	4	paired
SRR11749096	270	240	17	20	2	4	paired
SRR11749097	270	240	17	20	2	4	paired
SRR11749098	270	240	17	20	2	4	paired
SRR11749099	270	240	17	20	2	4	paired
SRR11749100	270	240	17	20	2	4	paired
SRR11749101	270	240	17	20	2	4	paired
SRR11749102	270	240	17	20	2	4	paired
SRR11749103	270	240	17	20	2	4	paired
SRR11749104	270	240	17	20	2	4	paired
SRR11749105	270	240	17	20	2	4	paired
SRR11749106	270	240	17	20	2	4	paired
SRR11749107	270	240	17	20	2	4	paired
SRR11749108	270	240	17	20	2	4	paired
SRR11749109	270	240	17	20	2	4	paired
SRR11749110	270	240	17	20	2	4	paired
SRR11749112	270	240	17	20	2	4	paired
SRR11749113	270	240	17	20	2	4	paired
SRR11749114	270	240	17	20	2	4	paired
SRR11749115	270	240	17	20	2	4	paired
SRR11749116	270	240	17	20	2	4	paired
SRR11749117	270	240	17	20	2	4	paired
SRR11749118	270	240	17	20	2	4	paired
SRR11749119	270	240	17	20	2	4	paired
SRR11749120	270	240	17	20	2	4	paired
SRR11749121	270	240	17	20	2	4	paired
SRR11749122	270	240	17	20	2	4	paired
SRR11749123	270	240	17	20	2	4	paired
SRR11749124	270	240	17	20	2	4	paired
SRR11749125	270	240	17	20	2	4	paired
SRR11749126	270	240	17	20	2	4	paired
SRR11749127	270	240	17	20	2	4	paired
SRR11749128	270	240	17	20	2	4	paired
SRR11749129	270	240	17	20	2	4	paired
SRR11749130	270	240	17	20	2	4	paired
SRR11749131	270	240	17	20	2	4	paired
SRR11749132	270	240	17	20	2	4	paired
