# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Parâmetros não preenchidos usam o padrão do .conf do projeto
# Projeto: PRJNA1155845 — 16S V3-V4 (341F/806R), MiSeq 2x300, primers presentes
SRR30517334	270	240	17	20	2	4	paired
SRR30517335	270	240	17	20	2	4	paired
SRR30517336	270	240	17	20	2	4	paired
SRR30517337	270	240	17	20	2	4	paired
SRR30517338	270	240	17	20	2	4	paired
SRR30517339	270	240	17	20	2	4	paired
SRR30517340	270	240	17	20	2	4	paired
SRR30517341	270	240	17	20	2	4	paired
SRR30517342	270	240	17	20	2	4	paired
SRR30517343	270	240	17	20	2	4	paired
SRR30517344	270	240	17	20	2	4	paired
SRR30517345	270	240	17	20	2	4	paired
SRR30517348	270	240	17	20	2	4	paired
SRR30517349	270	240	17	20	2	4	paired
SRR30517350	270	240	17	20	2	4	paired
SRR30517351	270	240	17	20	2	4	paired
SRR30517352	270	240	17	20	2	4	paired
SRR30517353	270	240	17	20	2	4	paired
SRR30517354	270	240	17	20	2	4	paired
SRR30517355	270	240	17	20	2	4	paired
SRR30517356	270	240	17	20	2	4	paired
SRR30517357	270	240	17	20	2	4	paired
SRR30517358	270	240	17	20	2	4	paired
SRR30517359	270	240	17	20	2	4	paired
SRR30517362	270	240	17	20	2	4	paired
SRR30517363	270	240	17	20	2	4	paired
SRR30517364	270	240	17	20	2	4	paired
SRR30517365	270	240	17	20	2	4	paired
SRR30517366	270	240	17	20	2	4	paired
SRR30517367	270	240	17	20	2	4	paired
SRR30517368	270	240	17	20	2	4	paired
SRR30517369	270	240	17	20	2	4	paired
SRR30517370	270	240	17	20	2	4	paired
SRR30517371	270	240	17	20	2	4	paired
SRR30517372	270	240	17	20	2	4	paired
SRR30517373	270	240	17	20	2	4	paired
SRR30517376	270	240	17	20	2	4	paired
SRR30517377	270	240	17	20	2	4	paired
SRR30517378	270	240	17	20	2	4	paired
SRR30517379	270	240	17	20	2	4	paired
SRR30517380	270	240	17	20	2	4	paired
SRR30517381	270	240	17	20	2	4	paired
SRR30517346	270	240	17	20	2	4	paired
SRR30517347	270	240	17	20	2	4	paired
SRR30517360	270	240	17	20	2	4	paired
SRR30517361	270	240	17	20	2	4	paired
SRR30517374	270	240	17	20	2	4	paired
SRR30517375	270	240	17	20	2	4	paired
SRR30519516	270	240	17	20	2	4	paired
SRR30519526	270	240	17	20	2	4	paired
SRR30519527	270	240	17	20	2	4	paired
SRR30519528	270	240	17	20	2	4	paired
SRR30519529	270	240	17	20	2	4	paired
SRR30519530	270	240	17	20	2	4	paired
SRR30519539	270	240	17	20	2	4	paired
SRR30519540	270	240	17	20	2	4	paired
SRR30519541	270	240	17	20	2	4	paired
SRR30519542	270	240	17	20	2	4	paired
SRR30519544	270	240	17	20	2	4	paired
SRR30519545	270	240	17	20	2	4	paired
SRR30519546	270	240	17	20	2	4	paired
SRR30519547	270	240	17	20	2	4	paired
SRR30519548	270	240	17	20	2	4	paired
SRR30519549	270	240	17	20	2	4	paired
SRR30519550	270	240	17	20	2	4	paired
SRR30519551	270	240	17	20	2	4	paired
SRR30519552	270	240	17	20	2	4	paired
SRR30519553	270	240	17	20	2	4	paired
SRR30519554	270	240	17	20	2	4	paired
SRR30519555	270	240	17	20	2	4	paired
SRR30519556	270	240	17	20	2	4	paired
SRR30519557	270	240	17	20	2	4	paired
SRR30519558	270	240	17	20	2	4	paired
SRR30519559	270	240	17	20	2	4	paired
SRR30519560	270	240	17	20	2	4	paired
SRR30519561	270	240	17	20	2	4	paired
SRR30519562	270	240	17	20	2	4	paired
SRR30519563	270	240	17	20	2	4	paired
SRR30519517	270	240	17	20	2	4	paired
SRR30519518	270	240	17	20	2	4	paired
SRR30519519	270	240	17	20	2	4	paired
SRR30519520	270	240	17	20	2	4	paired
SRR30519521	270	240	17	20	2	4	paired
SRR30519522	270	240	17	20	2	4	paired
SRR30519523	270	240	17	20	2	4	paired
SRR30519524	270	240	17	20	2	4	paired
SRR30519525	270	240	17	20	2	4	paired
SRR30519531	270	240	17	20	2	4	paired
SRR30519532	270	240	17	20	2	4	paired
SRR30519533	270	240	17	20	2	4	paired
SRR30519534	270	240	17	20	2	4	paired
SRR30519535	270	240	17	20	2	4	paired
SRR30519536	270	240	17	20	2	4	paired
SRR30519537	270	240	17	20	2	4	paired
SRR30519538	270	240	17	20	2	4	paired
SRR30519543	270	240	17	20	2	4	paired
