sample-id	description
SRR11851974	SRR11851974
SRR11851975	SRR11851975
SRR11851978	SRR11851978
SRR11851989	SRR11851989
SRR11852000	SRR11852000
SRR11852011	SRR11852011
SRR11852022	SRR11852022
SRR11852033	SRR11852033
SRR11852036	SRR11852036
SRR11852037	SRR11852037
SRR11852038	SRR11852038
SRR11852039	SRR11852039
SRR11852040	SRR11852040
SRR11852041	SRR11852041
SRR11852042	SRR11852042
SRR11852043	SRR11852043
SRR11852044	SRR11852044
SRR11852045	SRR11852045
