# Constructed from biom file
#OTU ID	ERR10890547	ERR10890548	ERR10890549	ERR10890550	ERR10890551	ERR10890552	ERR10890553	ERR10890554	ERR10890555	ERR10890556	ERR10890557	ERR10890558	ERR10890559	ERR10890560	ERR10890561	ERR10890562	ERR10890563	ERR10890564	ERR10890565	ERR10890566	ERR10890567	ERR10890568	ERR10890569	ERR10890570	ERR10890571
f9e7b5436108ef8ea3053bd1f0858c35	0.0	0.0	8.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
342993cfa9d328a4bd09ea8bfd379011	18.0	16.0	0.0	0.0	0.0	0.0	0.0	19.0	8.0	16.0	0.0	20.0	0.0	0.0	0.0	15.0	8.0	13.0	0.0	0.0	0.0	18.0	20.0	21.0	0.0
2c0f8eace8dadfcd3e6702e44e85f915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	14.0	11.0	0.0
b279c5f646c2927a5d00a888d586a494	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201dc6133167e45efed0d566acd1a70d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bd9a88b978426aa2cf51d9e4070b9576	0.0	0.0	20.0	3.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
d23913bb711e725cfd9d8609312ef1e9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
6fb7b2a8c68f1e21f41f8e55df334460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1423ebf5326c737409968605ee24c829	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	0.0	6.0	0.0
a7a1fe62eaaf7d353faab6f51e11c3ec	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d27d61781bc3d4bfd491a1b827f653c0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0
7718bdaad0b14716af8771614374ba04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
89becc2cc60e3a2341db4ec9dc6db98a	0.0	0.0	0.0	12.0	0.0	0.0	12.0	7.0	11.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	13.0	7.0	0.0	0.0	0.0	0.0	17.0	16.0
43b5e7ee2fac9d34178c0977246ad354	8.0	0.0	0.0	0.0	0.0	11.0	8.0	4.0	9.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	15.0	12.0	8.0	0.0	0.0	15.0	0.0
